Match,Date (UTC),Kickoff (UTC),Kickoff (ET),Team A,Team B,Group / Round,Venue,City,Host Country
92,2026-07-06,00:00,8:00 PM,TBD,TBD,Round of 16,Estadio Azteca,Mexico City,Mexico
93,2026-07-06,19:00,3:00 PM,TBD,TBD,Round of 16,AT&T Stadium,Arlington,USA
94,2026-07-07,00:00,8:00 PM,TBD,TBD,Round of 16,Lumen Field,Seattle,USA
95,2026-07-07,16:00,12:00 PM,TBD,TBD,Round of 16,Mercedes-Benz Stadium,Atlanta,USA
96,2026-07-07,20:00,4:00 PM,TBD,TBD,Round of 16,BC Place,Vancouver,Canada
97,2026-07-09,20:00,4:00 PM,TBD,TBD,Quarter-final,Gillette Stadium,Foxborough,USA
98,2026-07-10,19:00,3:00 PM,TBD,TBD,Quarter-final,SoFi Stadium,Inglewood,USA
99,2026-07-11,21:00,5:00 PM,TBD,TBD,Quarter-final,Hard Rock Stadium,Miami Gardens,USA
100,2026-07-12,01:00,9:00 PM,TBD,TBD,Quarter-final,Arrowhead Stadium,Kansas City,USA
101,2026-07-14,19:00,3:00 PM,TBD,TBD,Semi-final,AT&T Stadium,Arlington,USA
102,2026-07-15,19:00,3:00 PM,TBD,TBD,Semi-final,Mercedes-Benz Stadium,Atlanta,USA
103,2026-07-18,21:00,5:00 PM,TBD,TBD,Third Place,Hard Rock Stadium,Miami Gardens,USA
104,2026-07-19,19:00,3:00 PM,TBD,TBD,Final,MetLife Stadium,East Rutherford,USA
